,profit,loss
0,30.0,21.0
1,37.0,15.0
2,23.0,18.0
3,24.0,20.0
4,32.0,36.0
5,52.0,27.0
6,59.0,14.0
7,35.0,14.0
8,30.0,14.0
9,32.0,26.0
10,58.0,12.0
11,63.0,20.0
12,48.0,25.0
13,34.0,24.0
14,51.0,21.0
15,26.0,31.0
16,16.0,24.0
17,17.0,40.0
18,10.0,34.0
19,7.0,49.0
20,7.0,48.0
21,4.0,54.0
22,9.0,25.0
23,6.0,39.0
24,6.0,96.0
25,1.0,94.0
26,4.0,89.0
27,4.0,91.0
28,8.0,91.0
29,4.0,75.0
30,2.0,73.0
31,2.0,84.0
32,2.0,70.0
33,2.0,117.0
34,1.0,131.0
35,2.0,137.0
36,2.0,159.0
37,6.0,116.0
38,12.0,103.0
39,13.0,117.0
40,14.0,97.0
41,16.0,81.0
42,22.0,51.0
43,31.0,38.0
44,35.0,46.0
45,33.0,32.0
46,67.0,15.0
47,42.0,23.0
48,40.0,15.0
49,30.0,25.0
50,30.0,24.0
51,24.0,25.0
52,24.0,33.0
53,30.0,33.0
54,33.0,18.0
55,38.0,12.0
56,27.0,20.0
57,42.0,13.0
58,54.0,4.0
59,53.0,8.0
60,19.0,7.0
61,18.0,12.0
62,12.0,8.0
63,12.0,12.0
64,14.0,12.0
65,12.0,16.0
66,15.0,21.0
67,15.0,20.0
68,13.0,13.0
69,21.0,16.0
70,18.0,14.0
71,10.0,8.0
72,21.0,25.0
73,21.0,24.0
74,14.0,45.0
75,14.0,51.0
76,10.0,93.0
77,29.0,79.0
78,15.0,58.0
79,26.0,27.0
80,50.0,17.0
81,96.0,8.0
82,49.0,4.0
83,35.0,6.0
84,40.0,8.0
85,56.0,4.0
86,52.0,5.0
87,11.0,6.0
88,8.0,22.0
89,16.0,20.0
90,26.0,13.0
91,32.0,14.0
92,52.0,17.0
93,36.0,13.0
94,48.0,13.0
95,62.0,10.0
96,75.0,17.0
97,73.0,6.0
98,59.0,3.0
99,64.0,2.0
100,61.0,1.0
101,66.0,2.0
102,58.0,1.0
103,103.0,1.0
104,48.0,1.0
105,41.0,2.0
106,31.0,2.0
107,37.0,3.0
108,14.0,4.0
109,21.0,1.0
110,16.0,18.0
111,12.0,27.0
112,10.0,12.0
113,14.0,9.0
114,10.0,13.0
115,10.0,19.0
116,18.0,10.0
117,19.0,7.0
118,18.0,7.0
119,7.0,11.0
120,6.0,15.0
121,3.0,14.0
122,3.0,14.0
123,6.0,14.0
124,3.0,18.0
125,5.0,25.0
126,4.0,21.0
127,4.0,27.0
128,3.0,28.0
129,5.0,31.0
130,4.0,44.0
131,3.0,38.0
132,3.0,49.0
133,1.0,104.0
134,3.0,89.0
135,7.0,71.0
136,7.0,41.0
137,9.0,54.0
138,14.0,47.0
139,8.0,47.0
140,4.0,41.0
141,2.0,97.0
142,3.0,103.0
143,5.0,85.0
144,7.0,33.0
145,5.0,28.0
146,8.0,13.0
147,12.0,12.0
148,16.0,16.0
149,39.0,7.0
150,46.0,1.0
151,45.0,4.0
152,28.0,6.0
153,42.0,7.0
154,80.0,6.0
155,101.0,3.0
156,188.0,2.0
157,262.0,1.0
