,tickers
0,A
1,AA
2,AAL
3,AAP
4,AAPL
5,ABBV
6,ABC
7,ABNB
8,ABT
9,ACGL
10,ACHC
11,ACI
12,ACM
13,ACN
14,ADBE
15,ADC
16,ADI
17,ADM
18,ADP
19,ADSK
20,ADT
21,AEE
22,AEP
23,AES
24,AFG
25,AFL
26,AFRM
27,AGCO
28,AGL
29,AGNC
30,AGO
31,AGR
32,AIG
33,AIRC
34,AIZ
35,AJG
36,AKAM
37,AL
38,ALB
39,ALGM
40,ALGN
41,ALK
42,ALL
43,ALLE
44,ALLY
45,ALNY
46,ALSN
47,AM
48,AMAT
49,AMBP
50,AMC
51,AMCR
52,AMD
53,AME
54,AMED
55,AMG
56,AMGN
57,AMH
58,AMP
59,AMT
60,AMZN
61,AN
62,ANET
63,ANSS
64,AON
65,AOS
66,APA
67,APD
68,APH
69,APLS
70,APO
71,APP
72,APTV
73,AR
74,ARE
75,ARES
76,ARMK
77,ARW
78,ASH
79,ATO
80,ATR
81,ATVI
82,AVB
83,AVGO
84,AVT
85,AVTR
86,AVY
87,AWI
88,AWK
89,AXON
90,AXP
91,AXS
92,AXTA
93,AYI
94,AYX
95,AZEK
96,AZO
97,AZPN
98,BA
99,BAC
100,BAH
101,BAX
102,BBWI
103,BBY
104,BC
105,BDX
106,BEN
107,BEPC
108,BERY
109,BF.A
110,BFAM
111,BF.B
112,BG
113,BHF
114,BILL
115,BIO
116,BJ
117,BK
118,BKI
119,BKNG
120,BKR
121,BLD
122,BLDR
123,BLK
124,BMRN
125,BMY
126,BOKF
127,BPOP
128,BR
129,BRK.B
130,BRKR
131,BRO
132,BRX
133,BSX
134,BSY
135,BURL
136,BWA
137,BWXT
138,BX
139,BXP
140,BYD
141,C
142,CABO
143,CACC
144,CACI
145,CAG
146,CAH
147,CAR
148,CARR
149,CASY
150,CAT
151,CB
152,CBOE
153,CBRE
154,CBSH
155,CC
156,CCCS
157,CCI
158,CCK
159,CCL
160,CDAY
161,CDNS
162,CDW
163,CE
164,CELH
165,CERT
166,CF
167,CFG
168,CFLT
169,CFR
170,CG
171,CGNX
172,CHD
173,CHDN
174,CHE
175,CHH
176,CHK
177,CHPT
178,CHRW
179,CHTR
180,CI
181,CIEN
182,CINF
183,CL
184,CLF
185,CLH
186,CLVT
187,CLX
188,CMA
189,CMCSA
190,CME
191,CMG
192,CMI
193,CMS
194,CNA
195,CNC
196,CNHI
197,CNM
198,CNP
199,CNXC
200,COF
201,COIN
202,COLB
203,COLD
204,COLM
205,COO
206,COP
207,COST
208,COTY
209,CPB
210,CPNG
211,CPRI
212,CPRT
213,CPT
214,CR
215,CRI
216,CRL
217,CRM
218,CROX
219,CRUS
220,CRWD
221,CSCO
222,CSGP
223,CSL
224,CSX
225,CTAS
226,CTLT
227,CTSH
228,CTVA
229,CUBE
230,CUZ
231,CVS
232,CVX
233,CW
234,CWEN
235,CZR
236,D
237,DAL
238,DAR
239,DASH
240,DBX
241,DCI
242,DD
243,DDOG
244,DE
245,DECK
246,DFS
247,DG
248,DGX
249,DHI
250,DHR
251,DIS
252,DISH
253,DKNG
254,DKS
255,DLB
256,DLR
257,DLTR
258,DNB
259,DOCS
260,DOCU
261,DOV
262,DOW
263,DOX
264,DPZ
265,DRI
266,DRVN
267,DT
268,DTE
269,DTM
270,DUK
271,DV
272,DVA
273,DVN
274,DXC
